game_id,season,week,date,home_team,away_team,home_score,away_score,winner,opening_spread,opening_spread_source,line_movement_source,closing_spread_sbro,closing_spread_cfbd,closing_spread_final,closing_spread_difference,line_movement_signed,market_data_quality_flag,favorite,underdog,favorite_cover,ats_result
400548403,2014,1,2014-08-27,Georgia State,Abilene Christian,38,37,Georgia State,,,,6.0,,6.0,,,single_source,,,,no_line
400548402,2014,1,2014-08-28,South Carolina,Texas A&M,28,52,Texas A&M,11.0,sbro,sbro_same_source,9.0,9.5,9.0,0.5,2.0,verified,South Carolina,Texas A&M,False,underdog_cover
400547829,2014,1,2014-08-28,UL Monroe,Wake Forest,17,10,UL Monroe,,,,,5.0,5.0,,,single_source,Wake Forest,UL Monroe,False,underdog_cover
400548090,2014,1,2014-08-28,Akron,Howard,41,0,Akron,21.5,sbro,sbro_same_source,25.5,21.0,,4.5,-4.0,source_variance,,,,no_line
400548091,2014,1,2014-08-28,Northern Illinois,Presbyterian,55,3,Northern Illinois,,,,,38.0,38.0,,,single_source,Northern Illinois,Presbyterian,True,favorite_cover
400548092,2014,1,2014-08-28,Central Michigan,Chattanooga,20,16,Central Michigan,10.5,sbro,sbro_same_source,10.5,11.5,10.5,1.0,0.0,verified,Central Michigan,Chattanooga,False,underdog_cover
400547960,2014,1,2014-08-28,Minnesota,Eastern Illinois,42,20,Minnesota,,,,17.5,,17.5,,,single_source,,,,no_line
400548256,2014,1,2014-08-28,Utah,Idaho State,56,14,Utah,41.0,sbro,sbro_same_source,40.5,41.0,40.5,0.5,0.5,verified,Utah,Idaho State,True,favorite_cover
400547647,2014,1,2014-08-29,Tulsa,Tulane,38,31,Tulsa,3.5,sbro,sbro_same_source,5.0,4.5,5.0,0.5,-1.5,verified,Tulsa,Tulane,True,favorite_cover
400548404,2014,1,2014-08-29,New Mexico State,Cal Poly,28,10,New Mexico State,7.0,sbro,sbro_same_source,7.5,7.0,7.5,0.5,0.5,verified,Cal Poly,New Mexico State,False,underdog_cover
400548169,2014,1,2014-08-29,Ole Miss,Boise State,35,13,Ole Miss,,,,,9.5,9.5,,,single_source,Ole Miss,Boise State,True,favorite_cover
400547993,2014,1,2014-08-29,Washington State,Rutgers,38,41,Rutgers,9.5,sbro,sbro_same_source,7.5,7.5,7.5,0.0,2.0,verified,Washington State,Rutgers,False,underdog_cover
400553383,2014,1,2014-08-29,San José State,North Dakota,42,10,San José State,24.5,sbro,sbro_same_source,24.0,27.0,,3.0,0.5,source_variance,,,,no_line
400548255,2014,1,2014-08-29,Arizona State,Weber State,45,14,Arizona State,46.0,sbro,sbro_same_source,46.0,45.5,46.0,0.5,0.0,verified,Arizona State,Weber State,False,underdog_cover
400547640,2014,1,2014-08-29,Vanderbilt,Temple,7,37,Temple,16.5,sbro,sbro_same_source,8.5,8.5,8.5,0.0,8.0,verified,Vanderbilt,Temple,False,underdog_cover
400547641,2014,1,2014-08-29,UConn,BYU,10,35,BYU,17.0,sbro,sbro_same_source,14.5,15.5,14.5,1.0,-2.5,verified,BYU,UConn,True,favorite_cover
400547815,2014,1,2014-08-29,Syracuse,Villanova,27,26,Syracuse,,,,14.5,14.0,14.5,0.5,,verified,Syracuse,Villanova,False,underdog_cover
400548003,2014,1,2014-08-29,Western Kentucky,Bowling Green,59,31,Western Kentucky,7.0,sbro,sbro_same_source,7.0,7.5,7.0,0.5,0.0,verified,Bowling Green,Western Kentucky,False,underdog_cover
400547952,2014,1,2014-08-29,Michigan State,Jacksonville State,45,7,Michigan State,,,,34.5,27.5,,7.0,,source_variance,,,,no_line
400548171,2014,1,2014-08-30,Colorado,Colorado State,17,31,Colorado State,3.0,sbro,sbro_same_source,2.5,3.0,2.5,0.5,0.5,verified,Colorado,Colorado State,False,underdog_cover
400547644,2014,1,2014-08-30,Houston,UTSA,7,27,UTSA,12.5,sbro,sbro_same_source,8.0,12.5,,4.5,4.5,source_variance,,,,no_line
