game_id,season,home_team,away_team,date,cfbd_closing_spread,sbro_closing_spread,closing_spread_difference,market_data_quality_flag,cfbd_opening_spread,sbro_opening_spread,opening_spread_difference,opening_line_confidence
401777329,2025,Western Michigan,Miami (OH),2025-12-06,2.25,,,single_source,2.5,,,
401777325,2025,Jacksonville State,Kennesaw State,2025-12-06,3.0,,,single_source,1.0,,,
401778309,2025,Louisville,Toledo,2025-12-23,10.5,,,single_source,8.75,,,
401777327,2025,Texas Tech,BYU,2025-12-06,12.5,,,single_source,12.5,,,
401777353,2025,Ohio State,Indiana,2025-12-07,3.5,,,single_source,5.5,,,
401777326,2025,Boise State,UNLV,2025-12-06,6.0,,,single_source,3.0,,,
401778334,2025,Mississippi State,Wake Forest,2026-01-03,2.75,,,single_source,3.0,,,
401777328,2025,Virginia,Duke,2025-12-07,3.5,,,single_source,2.5,,,
401779842,2025,Ole Miss,Tulane,2025-12-20,17.0,,,single_source,17.0,,,
401778326,2025,Illinois,Tennessee,2025-12-30,2.75,,,single_source,5.5,,,
401778304,2025,South Florida,Old Dominion,2025-12-17,3.5,,,single_source,6.0,,,
401756961,2025,Arizona State,Arizona,2025-11-29,1.75,,,single_source,0.75,,,
401777351,2025,Alabama,Georgia,2025-12-06,1.5,,,single_source,1.5,,,
401778303,2025,Jacksonville State,Troy,2025-12-17,3.25,,,single_source,4.0,,,
401779840,2025,Oklahoma,Alabama,2025-12-20,1.5,,,single_source,1.0,,,
401779843,2025,Oregon,James Madison,2025-12-21,21.5,,,single_source,21.0,,,
401778315,2025,UTSA,Florida International,2025-12-27,7.0,,,single_source,8.5,,,
401762521,2025,Navy,Army,2025-12-13,6.25,,,single_source,4.5,,,
401778332,2025,Texas State,Rice,2026-01-02,19.5,,,single_source,10.5,,,
401778328,2025,Vanderbilt,Iowa,2025-12-31,3.0,,,single_source,4.5,,,
401762517,2025,Tulsa,UAB,2025-11-29,9.25,,,single_source,8.0,,,
401777324,2025,Tulane,North Texas,2025-12-06,1.25,,,single_source,3.0,,,
401756966,2025,Oklahoma State,Iowa State,2025-11-29,14.0,,,single_source,15.5,,,
401752924,2025,Purdue,Indiana,2025-11-29,28.5,,,single_source,28.0,,,
401761664,2025,Old Dominion,Georgia State,2025-11-29,28.75,,,single_source,25.0,,,
401777352,2025,James Madison,Troy,2025-12-06,24.5,,,single_source,21.5,,,
401778302,2025,Washington,Boise State,2025-12-14,9.75,,,single_source,8.5,,,
401778307,2025,NC State,Memphis,2025-12-19,4.75,,,single_source,5.5,,,
401752717,2025,Arkansas,Notre Dame,2025-09-27,5.25,,,single_source,8.25,,,
401778310,2025,Southern Miss,Western Kentucky,2025-12-23,3.0,,,single_source,4.0,,,
401752846,2025,Nebraska,Michigan,2025-09-20,1.25,,,single_source,2.5,,,
401752842,2025,Washington State,Washington,2025-09-20,21.0,,,single_source,16.5,,,
401778308,2025,Utah State,Washington State,2025-12-22,1.25,,,single_source,4.0,,,
401752852,2025,Washington,Ohio State,2025-09-27,9.25,,,single_source,11.5,,,
401752719,2025,Ole Miss,LSU,2025-09-27,2.5,,,single_source,2.0,,,
