team_a,team_b,rivalry_name,first_meeting,latest_meeting,meetings,source,source_type,verification_status
Middle Tennessee,Western Kentucky,100 Miles of Hate,1914,2025,75,https://en.wikipedia.org/wiki/List_of_NCAA_college_football_rivalry_games,wikipedia_table_row,confirmed_real_source
Air Force,Colorado State,Air Force-Colorado State (Ram-Falcon Trophy),1957,2025,63,https://en.wikipedia.org/wiki/List_of_NCAA_college_football_rivalry_games,wikipedia_table_row,confirmed_real_source
Air Force,Hawaii,Air Force-Hawaii (Kuter Trophy),1966,2025,24,https://en.wikipedia.org/wiki/List_of_NCAA_college_football_rivalry_games,wikipedia_table_row,confirmed_real_source
Akron,Kent State,Akron-Kent State (Wagon Wheel),1923,2025,68,https://en.wikipedia.org/wiki/List_of_NCAA_college_football_rivalry_games,wikipedia_table_row,confirmed_real_source
Alabama,Clemson,Alabama-Clemson,1900,2019,19,https://en.wikipedia.org/wiki/List_of_NCAA_college_football_rivalry_games,wikipedia_table_row,confirmed_real_source
Alabama,Florida,Alabama-Florida,1916,2021,42,https://en.wikipedia.org/wiki/List_of_NCAA_college_football_rivalry_games,wikipedia_table_row,confirmed_real_source
Alabama,Georgia,Alabama-Georgia,1895,2025,76,https://en.wikipedia.org/wiki/List_of_NCAA_college_football_rivalry_games,wikipedia_table_row,confirmed_real_source
Alabama,Georgia Tech,Alabama-Georgia Tech,1902,1984,52,https://en.wikipedia.org/wiki/List_of_NCAA_college_football_rivalry_games,wikipedia_table_row,confirmed_real_source
Alabama,LSU,Alabama-LSU,1895,2025,90,https://en.wikipedia.org/wiki/List_of_NCAA_college_football_rivalry_games,wikipedia_table_row,confirmed_real_source
Alabama,Ole Miss,Alabama-Ole Miss,1894,2023,71,https://en.wikipedia.org/wiki/List_of_NCAA_college_football_rivalry_games,wikipedia_table_row,confirmed_real_source
Alabama,Penn State,Alabama-Penn State,1959,2011,15,https://en.wikipedia.org/wiki/List_of_NCAA_college_football_rivalry_games,wikipedia_table_row,confirmed_real_source
Washington,Washington State,Apple Cup,1900,2025,117,https://en.wikipedia.org/wiki/List_of_NCAA_college_football_rivalry_games,wikipedia_table_row,confirmed_real_source
Illinois,Missouri,Arch Rivalry,1896,2010,24,https://en.wikipedia.org/wiki/List_of_NCAA_college_football_rivalry_games,wikipedia_table_row,confirmed_real_source
Arizona,New Mexico,Arizona-New Mexico,1908,2024,68,https://en.wikipedia.org/wiki/List_of_NCAA_college_football_rivalry_games,wikipedia_table_row,confirmed_real_source
Arkansas,LSU,Arkansas-LSU (Golden Boot),1901,2025,71,https://en.wikipedia.org/wiki/List_of_NCAA_college_football_rivalry_games,wikipedia_table_row,confirmed_real_source
Arkansas,Ole Miss,Arkansas-Ole Miss,1908,2025,72,https://en.wikipedia.org/wiki/List_of_NCAA_college_football_rivalry_games,wikipedia_table_row,confirmed_real_source
Arkansas,Texas,Arkansas-Texas,1894,2025,81,https://en.wikipedia.org/wiki/List_of_NCAA_college_football_rivalry_games,wikipedia_table_row,confirmed_real_source
Arkansas,Texas A&M,Arkansas-Texas A&M (Southwest Classic),1903,2025,82,https://en.wikipedia.org/wiki/List_of_NCAA_college_football_rivalry_games,wikipedia_table_row,confirmed_real_source
Arkansas,Texas Tech,Arkansas-Texas Tech,1957,2024,38,https://en.wikipedia.org/wiki/List_of_NCAA_college_football_rivalry_games,wikipedia_table_row,confirmed_real_source
Army,Navy,Army-Navy Game,1890,2025,126,https://en.wikipedia.org/wiki/List_of_NCAA_college_football_rivalry_games,wikipedia_table_row,confirmed_real_source
