team,game_appearances_2014_2025
BYU,155
App State,155
Louisville,154
Hawai'i,154
North Texas,152
Duke,152
Virginia Tech,152
San Diego State,152
Louisiana Tech,152
UTSA,151
Toledo,150
Boston College,149
Indiana,148
Western Michigan,148
Texas State,147
Central Michigan,146
Georgia State,146
Temple,146
Virginia,146
Wyoming,145
East Carolina,145
Arizona State,145
Florida Atlantic,145
Eastern Michigan,144
San José State,144
Bowling Green,144
Tulsa,144
UL Monroe,143
Buffalo,143
Florida International,141
Old Dominion,136
UConn,136
Massachusetts,136
Charlotte,127
Idaho,62
Sam Houston,41
Kennesaw State,31
Missouri State,25
Eastern Kentucky,23
Nicholls,22
Portland State,22
Delaware,21
Idaho State,21
UT Martin,21
Murray State,19
Wagner,19
Abilene Christian,19
Gardner-Webb,18
Austin Peay,18
Maine,18
Bethune-Cookman,18
Western Carolina,18
Howard,17
Charleston Southern,16
Southern Utah,16
South Carolina State,16
Northwestern State,16
SE Louisiana,16
UC Davis,15
Stephen F. Austin,15
The Citadel,15
VMI,14
Houston Christian,14
Central Arkansas,14
Morgan State,14
Norfolk State,14
Western Illinois,14
Chattanooga,14
Duquesne,13
Indiana State,13
Grambling,13
Eastern Illinois,13
Furman,13
Campbell,13
Alabama A&M,13
Southern,13
Sacramento State,13
Northern Iowa,13
Samford,13
Weber State,13
Alcorn State,13
Southern Illinois,12
Lamar,12
Colgate,12
Rhode Island,12
Wofford,12
Fordham,12
Florida A&M,12
Eastern Washington,12
William & Mary,12
South Dakota,11
UAlbany,11
Northern Arizona,11
Elon,11
North Carolina A&T,11
Incarnate Word,11
North Carolina Central,11
Tennessee Tech,11
Towson,11
New Hampshire,11
Delaware State,11
Mercer,11
Southeast Missouri State,11
Texas Southern,11
Prairie View A&M,10
Long Island University,10
McNeese,10
Savannah State,10
Cal Poly,10
Villanova,10
Stony Brook,10
Youngstown State,10
Holy Cross,10
Arkansas-Pine Bluff,10
Northern Colorado,10
Richmond,10
North Dakota,10
Jackson State,9
Alabama State,9
Central Connecticut,9
Illinois State,8
Lafayette,8
Montana State,8
Presbyterian,8
East Tennessee State,8
Monmouth,8
Saint Francis,7
Bucknell,7
Tennessee State,7
South Dakota State,7
Robert Morris,7
North Alabama,7
Tarleton State,5
Hampton,5
Merrimack,5
Bryant,5
East Texas A&M,4
Montana,4
North Dakota State,4
Utah Tech,4
Lindenwood,3
Lehigh,2
Yale,2
Mississippi Valley State,2
Valparaiso,1
Sacred Heart,1
Drake,1
San Diego,1
